review,sentiment
reviewers mentioned watching 1 oz episode youll hooked right exactly happened methe thing struck oz brutality unflinching scenes violence set right word trust faint hearted timid pulls punches regards drugs sex violence hardcore classic use wordit called oz nickname given oswald maximum security state penitentary focuses mainly emerald city experimental section prison cells glass fronts face inwards privacy high agenda em city home manyaryans muslims gangstas latinos christians italians irish moreso scuffles death stares dodgy dealings shady agreements far awayi main appeal fact goes shows wouldnt dare forget pretty pictures painted mainstream audiences forget charm forget romanceoz doesnt mess episode saw struck nasty surreal couldnt ready watched developed taste oz got accustomed high levels graphic violence violence injustice crooked guards wholl sold nickel inmates wholl kill order away mannered middle class inmates turned prison bitches lack street skills prison experience watching oz comfortable uncomfortable viewingthats touch darker,positive
wonderful little production filming technique unassuming oldtimebbc fashion gives comforting discomforting sense realism entire piece actors extremely chosen michael sheen got polari voices pat truly seamless editing guided references williams diary entries worth watching terrificly written performed piece masterful production great masters comedy life realism comes home little things fantasy guard use traditional dream techniques remains solid disappears plays knowledge senses particularly scenes concerning orton halliwell sets particularly flat halliwells murals decorating surface terribly,positive
thought wonderful way spend time hot summer weekend sitting air conditioned theater watching lighthearted comedy plot simplistic dialogue witty characters likable bread suspected serial killer disappointed realize match point 2 risk addiction thought proof woody allen fully control style grown lovethis id laughed woodys comedies years dare decade ive impressed scarlet johanson managed tone sexy image jumped right average spirited young womanthis crown jewel career wittier devil wears prada interesting superman great comedy friends,positive
basically theres family little boy jake thinks theres zombie closet parents fighting timethis movie slower soap opera suddenly jake decides rambo kill zombieok youre going film decide thriller drama drama movie watchable parents divorcing arguing like real life jake closet totally ruins film expected boogeyman similar movie instead watched drama meaningless thriller spots3 10 playing parents descent dialogs shots jake ignore,negative
petter matteis love time money visually stunning film watch mr mattei offers vivid portrait human relations movie telling money power success people different situations encounter variation arthur schnitzlers play theme director transfers action present time new york different characters meet connect connected way person know previous point contact stylishly film sophisticated luxurious look taken people live world live habitatthe thing gets souls picture different stages loneliness inhabits big city exactly best place human relations find sincere fulfillment discerns case people encounterthe acting good mr matteis direction steve buscemi rosario dawson carol kane michael imperioli adrian grenier rest talented cast characters come alivewe wish mr mattei good luck await anxiously work,positive
probably alltime favorite movie story selflessness sacrifice dedication noble cause preachy boring gets old despite seen 15 times 25 years paul lukas performance brings tears eyes bette davis truly sympathetic roles delight kids grandma says like dressedup midgets children makes fun watch mothers slow awakening whats happening world roof believable startling dozen thumbs theyd movie,positive
sure like resurrection dated seahunt series tech today bring kid excitement mei grew black white tv seahunt gunsmoke heros weekyou vote comeback new sea huntwe need change pace tv work world water adventureoh way thank outlet like view viewpoints tv moviesso ole way believe ive got wanna saywould nice read plus points sea huntif rhymes 10 lines let submitor leave doubt quitif lets,positive
amazing fresh innovative idea 70s aired 7 8 years brilliant things dropped 1990 funny anymore continued decline complete waste time todayits truly disgraceful far fallen writing painfully bad performances bad mildly entertaining respite guesthosts probably wouldnt air find hard believe creator handselected original cast chose band hacks followed recognize brilliance fit replace mediocrity felt 2 stars respect original cast huge success awful cant believe air,negative
encouraged positive comments film looking forward watching film bad mistake ive seen 950 films truly worst awful way editing pacing storyline acting soundtrack films song lame country tune played times film looks cheap nasty boring extreme rarely happy end credits film thing prevents giving 1score harvey keitel far best performance making bit effort keitel obsessives,negative
like original gut wrenching laughter like movie young old love movie hell mom liked itgreat camp,positive
phil alien quirky films humour based oddness actual punchlinesat odd pretty funny movie progressed didnt find jokes oddness funny anymoreits low budget film thats problem pretty interesting characters eventually lost interesti imagine film appeal stoner currently partakingfor similar better try brother planet,negative
