review,sentiment
short film inspired soontobe length feature spatula madness hilarious piece contends similar cartoons yielding multiple writers short film stars edward spatula fired job joins fight evil spoons premise allows funny content near beginning barely present remainder feature films 15minute running time absorbed oddball comedy small musical number unfortunately lies plot set doesnt time surely follows plot better highbudget hollywood films film worth watching times dont expect deep story,positive
okay night august 18th 2004 distinct displeasure meeting mr van bebble showing film manson family penny chicago chicago underground film festival heres film obvious rip kenneth anger roman polanski oliver stone terry gilliam movie ive seen second short q session mr van bebble immediately stated contact actual manson family members charlie calling liars saying wanted film based van bebbles trial seen living room tv news im assuming autobiography book helter skelter directly mimicked narrative second dibs questions asked trying present outsider mtv sex drugs rock n roll version necessarily true story question obviously pissed sloshed director started shouting f shut f truth movies bullshwell didnt think ridiculous day read tagline film youve heard laws storynow hear story told manson family excuse guy spoken family considers liars doesnt want gods tell story ridiculous statement heard film obviously catered sex drugs rock n roll audience trouble attracting small dimly lit theatre obviously spawned sex drugs rock n roll mind man couldnt watch film getting minutes beer shout sort rocky horroresque line actors screen film accomplishes little warping publics image actual events helped shape state america world today sort slashercomic bookpornorape fantasy dreamed obviously shallow individualthe film definitely impressive look soundtrack refreshing contained actual samples charlies work family lie album editing nice choppy simulate nauseating uncertainty modern music videos film better addition catalogues mtv underground film festival matter minds intellectual observers felt like midnight rocky horror viewing way audience dressed behaving probably best experience cast good exception charlie resembled sort stoned dungeons dragons enthusiast actual role portraying descriptions film gave energy throwing things physical match slow lethargic chubby representation actually presentedall film basically explains sadie maybe linda declares end write bunch bullsh books bunch bullsh moviesetc etc case point disclaimer based true story dead giveaway signalling beneath psychedelic garbage heap lay foundation actual story content difference world little bit alchemy separate truth crap actually maybe avoid read book insteadall film ended got free beer im glad went glad spent dollars ticket told shut f asking director question peace,negative
bought game impulse buy walmart glad entertaining listening sean connery playing game thought graphics best seen moviegame remake bonus levels hard sniper think hard frustrated didnt play game week half people shooting hide life handle thing change upgrade system didnt notice difference unupgraded equipment upgraded buying armor upgrade didnt armor stronger filling life meter liked q copter think developers good job,positive
hilariously horrible 70s madefortv horror clinker isnt deadly demonically possessed dessert cake exceptionally awful undeniably amusing enjoyable cathode ray refuse reaches breathtaking apex absolute unremitting silliness atrociousness thats tasty soexecrableitsdownrightawesome sort way richard crenna looking haggard possibly inebriated yvette mimieux acts got brutal rape endured jackson county jail sluggishly portray disgustingly nice respectable suburbanite couple quaint dull sleepy small town existence gets ripped asunder cute german shepard family pet turns ancient lethal evil spirit pretty soon mimieux repellently cutesy kids kim richards ike eisenmann psychic alien moppets disney witch mountain pictures worshiping crude crayon drawing nasty ugly canine entity den boy doesnt sound scary disturbing scary disturbing laughably ludicrous claptrap sure aint sure funny thanks curtis night tide harringtons hopelessly weak direction cartoonish special effects painfully risiblenridiculous plot game cast struggles valiantly absurd story leads martine beswicke rg armstrong briefly pop members satanic cult victor jory nice cameo helpful native american shaman favorite scene malicious mephestophelion mutt puts whammy crenna practically forcing stick hand wildly spinning lawnmower blade stuckup snobby fright film fans hold noses perfectly putrid stench admittedly smelly schlock devout tv trash lovers deem endearingly abominable offal boob tube equivalent alpo,positive
easy tell early movie exactly happen die 4 women man vacation end ultra nazi seventies blonde women supposedly ultra american survivors brunettes deserving deaththis movie like era contrives bring viewer knows mystery suspense people squabble predictable prejudices time laughablethe people happen savage young characters nuts nuts directorwriter team justify nazi propagandafor reason guy attracted blonde look ignores super hot looking brunette heterosexual man nuts remember seventies movies meant appeal women mentotally crap totally depressing,negative
marion davies stars remarkable comedy people released mgm 1928 davies plays hick savannah georgia arrives hollywood father dell henderson jalopy arrive hoot davies outrageous southern costume davies lands job slapstick comedy wants brings success meets fellow slapstick star william haines immediately smitten davies gets job prestigious studio high art studios lands job stuffy period pieces handsome fake actor andre telefair shows ropes typical pretentious hollywood star davies abandons slapstick friend father good life course learns marion davies wonderful outrageously runs gamut emotions required actress william haines usual wonderful comedic self cameos charles chaplin john gilbert famous stars day including director film king vidor silent film sound effects sound pictures coming treasure film,positive
performance actor actress film excellently natural movie acting directing skill brilliantly handled details tired seeing surprised film included actors director attenboroughs credits puzzles arent proud making claim excellent long lasting film audience hoping answers puzzles possibly knowledgeable personnel insider film,positive
star trek motion picture boring star trek final frontier plain bad terrible sequel crew shore leave distress signal federation ambassadors representing earth romulus kronos klingon home world kidnapped renegade vulcan bent quest attain starship venture great barrier hopes find god mysticism bad writing persuades senior officers enterprise betray kirk hold ship reach inside great barrier find planet meet godlike alien bad hard figure begin core good idea developed plot goes instead man gone like writers idea end fiasco action scenes dont suspense wrath kahn philosophy boring humor stale focus anger william shatner takes directors chair ego gets bigger focus spock mccoy shatner usually guilty overacting previous movies television spots plain bad kirk reckless practical jokers silly worst scenes involves leaders singing song row row row boat round campfire case worst star trek franchise given instead,negative
despite later claims earlytalkie melodrama little common citizen kane biopic ruthless human fictional plutocrat told flashback hopping time scriptwriter preston sturges shows later gift sparkling dialog myriad cinematic innovations kane evident watchable young spencer tracy oldman makeup makes look like old spencer tracy showing depth authority colleen moore little past prime physically matched playing multifaceted womanbehindtheman theres helen vinson treacherous femmes fatales movie history sending final ecstatic soapopera reverberations surviving print jumpy missing audio snippets plot holes left open know son shes sleeping music awfully hokey fascinated,positive
best version far true bronte work dalton little tough imagine rochester jane eyre declared handsome acting overcomes zelah clark pretty complete believable jane eyre production lengthy watch worth nearly direct quotes book script want true romance literature way copy movie read reread original filming little dated like,positive
apparently people wrote box bother watch socalled movie described blindingly choreographed intrigue violence saw intrigue instead saw miserable attempt dialogue supposed kung fu movie saw violence saw cause suspend disbelief possibly hurt man impervious skinbut revealing plot furthermore viewer sundry films include occasional kung fu movie authoritatively piece celluloid unwatchable choose remain correct jonathan tanner ps blinded choreography,negative
liked boyles performance thats positive thing overdone point absurdity actors spoke like expect 9yearold nephew speak pretending jaded stonehearted cop ultraevil villain raspy voiceovers amateurish buy cheap synthesizer crank better opening music whats 1984ish police torture stuff totally superfluous actual events story cox added lot things fact apparently thought cool story thats big disappointment things makes borges stories good minimalism tightly bound superfluous details movie opposite stopped watching scene lonnrot questioning guy yidische zaitung thereabouts wasted 4 renting satisfaction writing review hopefully saving making mistake,negative
terrific funny movie doesnt smile pity film boring long simply painfull story staggering goal funyou feel better finished,negative
cgi crap jumping crocs tour darwins adelaide river black water way realistic rogue bit cringeworthythought blonde chick excellent havent seen chick babe excellent v suspenseful compare jaws man eating animal flick got hole aussie thing pat going ott struths crikeys loved,positive
assignment outstanding thriller plot twists driven character star turns need stage special effects obligatory romance endless car chases car chase dandy aidan quinn wonderful terrorist naval officer recruited eliminate rare second tier actor quinn given important starring role like carries film usually role given alist actor box office draw probably heard film saw donald sutherland great morally ambiguous somewhat creepy times agent recruits quinn ben kingsley fine israeli agent plot complex multiple story lines converge gradual fashion end seeing paranoia claustrophobia type thrillers captured portrayed moral ambiguity frightening intensity locations convincing effective soundtrack special rarely mentioned qualities days dumb andor meaningless plot developments unconvincing star turns loud annoying music video type soundtracks villain hams repeatedly cast costumes plot cater audience 25 outstanding thriller assuredly release 12 4 stars,positive
finest movies seenthe stark scenerythe isolationthe ignorant bigoted people hiding religiona backdrop wordliness sophisticationthe acting completely naturalbut afoodie best actual choosing preparation feasti spent time paris know cuisine wellwhether cafe anglais exists dont know know similar establishments babettes menu choice wines authenticand course end despite perfect meal mellows friendship ending bethis 10 10 film seen brain taste understand,positive
set 1794 second year french republic formed execution louis xvi film portrays power struggle revolutionary leaders danton gerard depardieu finest robespierre commanding performance polish actor wojciech pszoniak moderate revolutionary danton returned paris country seat deposed leader committee public safety previous year robespierre opposed reign terror resulted executions thousands citizens mainly guillotine thought opposed revolution danton confident support ordinary people tries persuade robespierre curb bloodletting robespierre committee afraid popularity danton lead overthrown danton supporters trial traitors french language film andrzej wajda arrived france poland polish film company closed government support solidarity trade union opposed polish government late seventies early eighties previous film man iron 1981 dealt solidarity union leader lech walesa easy draw comparisons relationship walesa polish leader general jaruselski danton robespierre dantonwalesa voice reason opposed robespierrejaruselski continue dictatorial rule despite lost support people claim represent film based polish play danton affair written stanislawa przybyszewska 1930s release film criticised static theatrical film concentrate behindthescenes meetings committees scenes national assembly courtroom activities streets paris,positive
usually im bit fan bad eighties early nineties film featuring beensbut film incredibly terrible real endurance test sit guys dressing girls death pathetically corey haims performance abysmal usual nicole eggert better redeeming qualities number 1 fan actoractress piece trash stay away,negative
seen films pedro almodvar disappointing far film lack zaniness usually films story got interested almodvar regulars appear film like lack onscreen talent film films comedic edge movie certainly couldnt find surprisingly weak movie,negative
greatly enjoyed margaret atwoods novel robber bride thrilled movie version woman frames cop boyfriend murder buddy excop journalist tries clear checking dead womans crazy female friends fortunate movie script fixes ms atwoods clumsy plotting focusing story men victims scheming womenheh okay got guys mentioned book im pretty sure theyre entirely movie ill eat dust cover hardback copy apparently main female characters novel arent carry movie zenias manipulations arent interesting happen man mans life screwed roz charis toni tell stories man important man doesnt hear themi liked characters book hurts pushed mans story normally look feminist angles media tried enjoy movie hadnt read book enjoyed movie lot like cop excop want read youre luck read novel want enjoy luscious prose characterization subtly layered plot plot movie excavated ironed sprinkled male angst like zenias revenge margaret atwood,negative
movie gets 10 lot gore itwho cares plot actingthis italian horror movie people know cant expect acting ploteverybody knows fulci took footage movies added onesince seen movies took footage didnt matter methe italian godfather gore moviethis goriest italian movies seeno gore hound movie horror movie collectionbuy movie matter horehounds dream come true,positive
ingrid bergman playing dentist walter matthaus faithful receptionist harbors little crush boss absolutely wonderful film handles witty repartee script aplomb steals terrific scene goldie hawn talk record booth ingrids monologue face tells believes heart matthau odd choice leading man hes old goldie hawn unrefined bergman mention unfocused dentist liked way tries hard goldie stumbles trying free lie hawn supporting oscar fresh bubbly today bedroom farce isnt terribly sophisticated faintly reminds wednesday welcome relief noisy teenoriented comedies turn today cactus flower lovely sigh,positive
bored television director introduced black arts astral projection girlfriend learning ability separate spirit body man finds renewed interest life sense wellbeing unfortunately man discovers sleeping spirit leaves body uncontrolled body roams streets murderous rampage according dvd sleeves synopsisthe synopsis isnt entirely correct turns outanyway movie opens dizzying outofbody example handsome director winston rekert paul sharpes newly discovered astral body experience foreshadows upcoming dogfight young andrew bednarski matthew sharpe kid draws pictures blue man murder spree begins handsome detective john novak stewart kaufman discovers victims connected mr rekert mr novaks investigation leads supernatural prime example karen black janus rekert fears falling loveseveral cast perform blue man winds tying knot aka eternal evil unsatisfying story tries far clever good,negative
ah yes 1980s time reaganomics sly chuck host action stars hiding remote jungle blowing away commies time couldnt believe movies like rambo missing action uncommon valor forget ridiculous red dawn money box office theyre turgid action crap fests putting right wing agenda dated badly tromas war tongue cheek type movies youve got ask need spoofing place course tromas war lacks sort sophistication point theres real difference right wing tyrants left wing ones feels like grade z movie send maybe,negative
tale based edgar allen poe pieces fall house usher dance death poem actually creepy beginning end similar old blackandwhite movies people meet old decrepit house example cat canary old dark house night terror boris karloff plays demented inventor lifesize dolls terrorize guests dies early film residents house subjected number terrifying experiences wont detail definitely mustsee fans old dark house mysterieswatch plenty popcorn soda darkened roomdan basinger 810,positive
happy surprised interest movie jack frost introduction films produced distributed apix entertainment exception company deals pure crap important watch movie sober unlike entertaingly bad movies feel intentionally bad cant fake snowman shown briefly way moves best movie waaaaaaaaaaay better michael keaton piece crap becuz good movie version bad,negative
